Metabolite,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
%C22:5n3 (DPA)-PP,0.4101%,0.3972%,0.1914%,0.4048%,0.2656%,0.3243%,0.2473%,0.2614%,0.3242%,0.3493%
14_15-DiHETrE-To-F,0.16,0.59,0.32,0.14,0.43,0.08,0.45,0.13,0.09,0.42
C15:0-F,24.80,76.21,27.61,26.51,64.97,17.63,51.91,14.23,19.61,55.30
9_10-EpO-NE-PP,2.25,3.50,11.20,1.87,0.82,2.13,1.63,2.27,4.22,5.86
5_6-DiHETrE-To-F,3.64,12.00,4.50,3.00,6.59,1.45,7.71,3.33,2.39,6.03
10-Nitrooleate-NE-PP,0.36,0.09,0.21,0.07,0.09,0.24,0.07,0.03,0.17,0.18
12(13)-EpOME-NE-F,6.34,8.78,6.55,2.86,3.56,0.84,0.85,10.30,6.57,2.60
C16:1n7/C16:0-F,0.07,0.10,0.08,0.15,0.14,0.16,0.10,0.11,0.07,0.12
15(16)-EpODE-NE-PP,4.11,3.37,14.70,5.66,1.28,1.29,3.68,6.93,5.24,8.22
C19:0-F,1.34,6.29,1.67,1.28,2.67,1.45,2.82,1.50,1.33,2.32
9-HETE-To-F,14.90,61.90,6.75,8.25,24.30,7.57,26.20,7.33,5.02,27.50
C20:2n6-NEFA-F,0.43,0.26,0.54,0.33,1.62,0.61,0.54,0.40,0.43,0.33
8_9-DiHETrE-To-F,1.35,6.27,3.24,1.63,3.38,1.09,3.57,2.07,1.89,3.41
C22:5n3/C20:5n3-NEFA-F,35.03,0.12,0.86,1.28,1.14,14.32,1.72,1.13,3.18,1.88
17-HDoHE-To-F,16.80,79.60,13.10,23.10,33.70,12.00,41.00,10.40,18.00,19.40
%C18:0-PP,6.0813%,7.3381%,7.7310%,6.5259%,5.1153%,6.6386%,7.4810%,6.9470%,5.4180%,5.6864%
9-KODE-NE-F,5.67,8.78,11.10,2.25,8.00,2.06,6.32,16.60,3.39,2.22
C20:4n6-NEFA-F,1.43,0.74,6.22,0.64,13.60,1.05,6.77,0.37,1.04,2.86
14_15-DiHETrE-NE-PP,0.01,0.01,0.07,0.00,0.00,0.02,0.01,0.03,0.01,0.02
%C18:1n7-F,1.613%,1.864%,1.817%,1.928%,1.508%,1.814%,1.357%,1.869%,1.905%,1.635%
